ID;zeile_inhalt;zeile_inhalt_orig;extracted_data_id;zeile_inhalt_ohne_treffer;Verein_DRVID;Verein;gefunden_am
123;1 - Boot 2 - 01:48.94 2;1 Frankfurter RG Oberrad - Boot 2 - 01:48.94 2;426;1 - Boot 2 - 01:48.94 2;11614;Frankfurter RG Oberrad;2025-11-29 07:36:29
124;2 - Boot 1 - 01:53.99 1;2 Frankfurter RG Oberrad - Boot 1 - 01:53.99 1;428;2 - Boot 1 - 01:53.99 1;11614;Frankfurter RG Oberrad;2025-11-29 07:36:29
125;3 - Boot 1 - 01:59.11 3;3 SG Wiking - Boot 1 - 01:59.11 3;430;3 - Boot 1 - 01:59.11 3;11643;SG Wiking;2025-11-29 07:36:29
126;1 01:52.77 4;1 RG Wetzlar 01:52.77 4;434;1 01:52.77 4;11647;RG Wetzlar;2025-11-29 07:36:29
127;2 02:02.06 5;2 Frankfurter RC 02:02.06 5;436;2 02:02.06 5;11616;Frankfurter RC;2025-11-29 07:36:29
128;3 - Boot 3 - 02:10.06 6;3 Frankfurter RG Oberrad - Boot 3 - 02:10.06 6;438;3 - Boot 3 - 02:10.06 6;11614;Frankfurter RG Oberrad;2025-11-29 07:36:29
129;1 02:02.84 7;1 Nassovia Höchst 02:02.84 7;442;1 02:02.84 7;11612;Nassovia Höchst;2025-11-29 07:36:29
130;2 - Boot 2 - 02:13.37 8;2 SG Wiking - Boot 2 - 02:13.37 8;444;2 - Boot 2 - 02:13.37 8;11643;SG Wiking;2025-11-29 07:36:29
131;1 02:12.15 12;1 Frankfurter RC 02:12.15 12;448;1 02:12.15 12;11616;Frankfurter RC;2025-11-29 07:36:29
132;2 02:13.04 13;2 RC Möve Grossauheim 02:13.04 13;450;2 02:13.04 13;11625;RC Möve Grossauheim;2025-11-29 07:36:29
133;3 02:21.58 10;3 Mühlheimer RV 02:21.58 10;452;3 02:21.58 10;11637;Mühlheimer RV;2025-11-29 07:36:29
134;4 02:28.74 11;4 Hanauer RG 02:28.74 11;454;4 02:28.74 11;11627;Hanauer RG;2025-11-29 07:36:29
135;1 Rgm. / Mühlheimer RV 01:38.70 3;1 Rgm. RC Möve Grossauheim/ Mühlheimer RV 01:38.70 3;465;1 Rgm. / Mühlheimer RV 01:38.70 3;11625;RC Möve Grossauheim;2025-11-29 07:36:29
136;2 am Main-Bürgel 01:41.76 1;2 WSV Offenbach am Main-Bürgel 01:41.76 1;467;2 am Main-Bürgel 01:41.76 1;11642;WSV Offenbach;2025-11-29 07:36:29
137;3 am Main-Bürgel 01:45.23 4;3 WSV Offenbach am Main-Bürgel 01:45.23 4;469;3 am Main-Bürgel 01:45.23 4;11642;WSV Offenbach;2025-11-29 07:36:29
138;1 Rgm. / Limburger ClfW/ WSV Offenbach am Main-Bürgel 01:42.54 2;1 Rgm. Nassovia Höchst/ Limburger ClfW/ WSV Offenbach am Main-Bürgel 01:42.54 2;476;1 Rgm. / Limburger ClfW/ WSV Offenbach am Main-Bürgel 01:42.54 2;11612;Nassovia Höchst;2025-11-29 07:36:29
139;2 01:51.28 1;2 RC Möve Grossauheim 01:51.28 1;479;2 01:51.28 1;11625;RC Möve Grossauheim;2025-11-29 07:36:29
140;1 01:49.45 3;1 Frankfurter RG Germania 01:49.45 3;485;1 01:49.45 3;11610;Frankfurter RG Germania;2025-11-29 07:36:29
141;2 01:54.18 1;2 SG Wiking 01:54.18 1;488;2 01:54.18 1;11643;SG Wiking;2025-11-29 07:36:29
142;3 02:02.42 2;3 Limburger ClfW 02:02.42 2;491;3 02:02.42 2;11635;Limburger ClfW;2025-11-29 07:36:29
143;1 01:33.71 2;1 Hersfelder RV 01:33.71 2;497;1 01:33.71 2;11628;Hersfelder RV;2025-11-29 07:36:29
144;2 Rgm. / RC Aschaffenburg 01:42.80 4;2 Rgm. Frankfurter RG Borussia/ RC Aschaffenburg 01:42.80 4;499;2 Rgm. / RC Aschaffenburg 01:42.80 4;11607;Frankfurter RG Borussia;2025-11-29 07:36:29
145;3 01:44.31 3;3 Frauen-RV Freiweg Frankfurt 01:44.31 3;502;3 01:44.31 3;11609;Frauen-RV Freiweg Frankfurt;2025-11-29 07:36:29
146;4 01:51.12 1;4 Frauen-RV Freiweg Frankfurt 01:51.12 1;504;4 01:51.12 1;11609;Frauen-RV Freiweg Frankfurt;2025-11-29 07:36:29
147;1 - Boot 1 - 01:35.38 2;1 Marburger RV - Boot 1 - 01:35.38 2;513;1 - Boot 1 - 01:35.38 2;11636;Marburger RV;2025-11-29 07:36:29
148;2 - Boot 1 - 01:37.19 5;2 Nassovia Höchst - Boot 1 - 01:37.19 5;515;2 - Boot 1 - 01:37.19 5;11612;Nassovia Höchst;2025-11-29 07:36:29
149;3 - Boot 1 - 01:37.56 1;3 Hanauer RC Hassia - Boot 1 - 01:37.56 1;517;3 - Boot 1 - 01:37.56 1;11626;Hanauer RC Hassia;2025-11-29 07:36:29
